source_english,target_french,transformer_prediction,nearest_train_source,nearest_source_similarity,nearest_source_jaccard,nearest_source_length_ratio,nearest_source_combo_score,predicted_french,prediction_method,exact_match,char_accuracy,sequence_similarity,char_bleu4,word_bleu4
she paints her small bedroom light blue,elle peint sa petite chambre en bleu clair,elle peint sa chambre en bleu,she paints her bedroom blue,0.8181818181818182,0.7142857142857143,0.6923076923076923,0.7868931068931069,elle peint sa chambre en bleu,transformer,FAIL,0.38095238095238093,0.8169014084507042,0.6201948221781713,0.24348367989663258
they practice soccer every evening,ils s'entraînent au football tous les soirs,ils s'entraînent à la course de fond tous les matins,they practice running every morning,0.7536231884057971,0.42857142857142855,0.9714285714285714,0.7168944099378882,ils s'entraînent à la course tous les matins,similarity_memory_v2,FAIL,0.6136363636363636,0.6896551724137931,0.6186392192035609,0.08307018474412793
please step away from the closing doors,"s'il vous plaît , éloignez-vous des portes qui se ferment","s'il vous plaît , fermez la barrière",the store opens early in the morning,0.5066666666666667,0.08333333333333333,0.9230769230769231,0.47210769230769234,"s'il vous plaît , fermez la barrière",transformer,FAIL,0.3157894736842105,0.4946236559139785,0.3612922116296413,0.26782849591300867
they speak french at home,ils parlent français à la maison,ils parlent différentes à l'école ensemble,they study french grammar,0.64,0.2857142857142857,1.0,0.6122285714285713,ils étudient la grammaire française,similarity_memory_v2,FAIL,0.17142857142857143,0.47761194029850745,0.46715749263070655,0.05231223689135342
the flowers bloom in spring,les fleurs fleurissent au printemps,les belles fleurs du printemps s'épanouissent enfin,the spring flowers are blooming,0.6896551724137931,0.42857142857142855,0.8709677419354839,0.6607913554743365,les fleurs du printemps épanouissent,similarity_memory_v2,FAIL,0.3888888888888889,0.6197183098591549,0.6918766047932764,0.12574334296829354
i need a reliable pair of winter boots,j'ai besoin d'une paire de bottes d'hiver fiable,je lis un roman classique russe,i need a new pair of shoes,0.65625,0.5,0.6842105263157895,0.6309210526315789,j'ai besoin d'une nouvelle paire de chaussures,similarity_memory_v2,FAIL,0.4583333333333333,0.6170212765957447,0.6072354558626474,0.17820132316770917
she works part-time at the library,elle travaille à temps partiel à la bibliothèque,elle travaille à domicile à plein temps à l'hôpital,she works full-time at the hospital,0.6956521739130435,0.5,0.9714285714285714,0.6880124223602484,elle travaille à plein temps à l'hôpital,similarity_memory_v2,FAIL,0.4166666666666667,0.6363636363636364,0.532079658991639,0.16102307266026747
he teaches mathematics to children,il enseigne les mathématiques aux enfants,il enseigne la chimie aux étudiants universitaires,he teaches history to middle school children,0.6153846153846154,0.5,0.7727272727272727,0.6103496503496504,il enseigne l'histoire à des enfants du collège,similarity_memory_v2,FAIL,0.2765957446808511,0.5227272727272727,0.4554144587655772,0.06500593260343691
she makes delicious cakes,elle fait de délicieux gâteaux,elle cuisine un délicieux dîner,she cooks a delicious dinner,0.6415094339622641,0.2857142857142857,0.8928571428571429,0.6026010781671158,elle cuisine un délicieux dîner,similarity_memory_v2,FAIL,0.25806451612903225,0.6229508196721312,0.4863189950496754,0.06389431042462725
the dog barks loudly,le chien aboie bruyamment,le chien attrape la balle,the clock ticks loudly,0.7142857142857143,0.3333333333333333,0.9090909090909091,0.6651948051948052,l'horloge tic-tac bruyamment,similarity_memory_v2,FAIL,0.03571428571428571,0.6037735849056604,0.41832219496433715,0.0814136751754278
they swim in the pool,ils nagent dans la piscine,ils font de la randonnée dans la forêt,she swims in the ocean,0.7441860465116279,0.25,0.9545454545454546,0.6762684989429175,elle nage dans l'océan,similarity_memory_v2,FAIL,0.038461538461538464,0.625,0.387127045926029,0.06257106818159155
we watched the spectacular sunrise over the ocean,nous avons regardé le lever de soleil spectaculaire sur l'océan,nous avons regardé les nuages d'orage s'accumuler sur les collines,we watched the sunrise this morning,0.6666666666666666,0.4444444444444444,0.7142857142857143,0.6314285714285713,nous avons regardé le lever du soleil ce matin,similarity_memory_v2,FAIL,0.5873015873015873,0.7706422018348624,0.5573457041477425,0.4180134288483488
the children love chocolate,les enfants adorent le chocolat,les belles fleurs du printemps épanouissent,the children play in the park,0.6071428571428571,0.2857142857142857,0.9310344827586207,0.5816748768472906,les enfants jouent dans le parc,similarity_memory_v2,FAIL,0.3870967741935484,0.6774193548387096,0.5425848562532388,0.09554427922043669
i need some help,j'ai besoin d'aide,je dois charger mon téléphone,we need to buy some milk,0.6,0.25,0.6666666666666666,0.5436666666666666,nous devons acheter du lait,similarity_memory_v2,FAIL,0.18518518518518517,0.08888888888888889,0.03040559696901294,0.0
i am reading an interesting novel,je lis un roman intéressant,j'ai reçu une invitation officielle à la fête,i am reading a modern novel,0.8,0.5,0.8181818181818182,0.7478181818181817,je lis un roman moderne,similarity_memory_v2,FAIL,0.6296296296296297,0.72,0.590676421431256,0.668740304976422
we celebrated his graduation,nous avons célébré sa remise de diplôme,nous avons célébré notre anniversaire,we celebrated their wedding,0.6545454545454545,0.3333333333333333,0.9642857142857143,0.6277012987012986,nous avons célébré leur mariage,similarity_memory_v2,FAIL,0.5641025641025641,0.6285714285714286,0.4997071385027575,0.17824801752356584
the nurse advised him to sleep,l'infirmière lui a couseeillé de dormir,l'infirmière des urgences lui a dit de se reposer,the dentist advised me to brush,0.6885245901639344,0.3333333333333333,0.967741935483871,0.6525118984664199,le dentiste m'a conseillé de me brosser les dents,similarity_memory_v2,FAIL,0.061224489795918366,0.45454545454545453,0.27817850736891786,0.023980296761827107
i want a hot cup of coffee,je veux une tasse de café chaud,je veux un verre froid de café glacé,i want a cup of hot tea,0.7346938775510204,0.75,0.8846153846153846,0.7524411302982732,je veux une tasse de thé chaud,similarity_memory_v2,FAIL,0.6774193548387096,0.9180327868852459,0.8456771197939585,0.6434588841607617
he works hard every day,il travaille dur tous les jours,il travaille dans l'histoire,he drinks tea every morning,0.6,0.25,0.8518518518518519,0.5621851851851851,il boit du thé tous les matins,similarity_memory_v2,FAIL,0.0967741935483871,0.5901639344262295,0.40679405541985963,0.07730551756939454
we swim during summer,nous nageons pendant l'été,nous avons traversé le vendredi,we live in a big house,0.5116279069767442,0.1111111111111111,0.9545454545454546,0.4838266384778013,nous avons traversé le vendredi,transformer,FAIL,0.16129032258064516,0.45614035087719296,0.25941601404401565,0.05372849659117709
