I am cold	J'ai froid
Always look both ways before crossing the road	Regardez toujours des deux côtés avant de traverser la route
Please verify your entry details before submitting	Veuillez vérifier vos informations de saisie avant de soumettre
He decided to adopt a puppy from the shelter	Il a décidé d'adopter un chiot du refuge
She bought an expensive leather bag yesterday	Elle a acheté un sac en cuir cher hier
We watched the storm clouds gather over the hills	Nous avons regardé les nuages d'orage s'accumuler sur les collines
They follow the instructions carefully to avoid mistakes	Ils suivent attentivement les instructions pour éviter les erreurs
The water temperature in the pool is pleasant	La température de l'eau dans la piscine est agréable
I want to drink a hot cup of tea	Je veux boire une tasse de thé chaud
We are ready to board the international flight	Nous sommes prêts à embarquer sur le vol international
He lost his car keys inside the supermarket	Il a perdu ses clés de voiture dans le supermarché
She works as a manager at a local bank	Elle travaille comme directrice dans une banque locale
They built a cozy treehouse for the kids	Ils ont construit une cabane confortable dans les arbres pour les enfants
The fresh coffee smells wonderful every single morning	Le café frais sent merveilleusement bon chaque matin
I need a reliable pair of winter boots	J'ai besoin d'une paire de bottes d'hiver fiable
We are going to buy a new dining table	Nous allons acheter une nouvelle table de salle à manger
He likes to watch historical documentaries on television	Il aime regarder des documentaires historiques à la télévision
She practices her dance routine in front of the mirror	Elle pratique sa routine de danse devant le miroir
They speak French with a perfect Parisian accent	Ils parlent français avec un parfait accent parisien
The small chipmunks store seeds for the winter	Les petits tamias stockent des graines pour l'hiver
I want a large slice of chocolate cake	Je veux une grande part de gâteau au chocolat
We crossed the high mountain pass on foot	Nous avons traversé le col de haute montagne à pied
The business hotel is situated near the center	L'hôtel d'affaires est situé près du centre
He finished his workout session earlier than usual	Il a terminé sa séance d'entraînement plus tôt que d'habitude
She wears an elegant pearl necklace to the gala	Elle porte un élégant collier de perles pour le gala
They go ice skating on the frozen lake	Ils vont patiner sur le lac gelé
The regional train arrives at exactly six o'clock	Le train régional arrive à exactement six heures
I look forward to attending the tech conference	J'attends avec impatience d'assister à la conférence technologique
You have a spectacular view from your balcony	Vous avez une vue spectaculaire depuis votre balcon
The fresh orange juice must be kept refrigerated	Le jus d'orange frais doit être conservé au réfrigérateur
We visited the ancient amphitheater during our holiday	Nous avons visité l'amphithéâtre antique pendant nos vacances
He answers the phone calls with a polite voice	Il répond aux appels téléphoniques d'une voix polie
She paints the kitchen walls a bright yellow	Elle peint les murs de la cuisine en jaune vif
The team members share their ideas during meetings	Les membres de l'équipe partagent leurs idées lors des réunions
The green tea is too bitter without honey	Le thé vert est trop amer sans miel
I see a helicopter flying over the city	Je vois un hélicoptère voler au-dessus de la ville
We walk through the historic streets of Paris	Nous marchons dans les rues historiques de Paris
The science experiment requires a special microscope	L'expérience scientifique nécessite un microscope spécial
He teaches world geography to high school classes	Il enseigne la géographie mondiale à des classes de lycée
She is searching for a comfortable pair of shoes	Elle cherche une paire de chaussures confortables
They practice swimming techniques every single afternoon	Ils s'entraînent aux techniques de natation chaque après-midi
The morning double espresso is incredibly strong	Le double expresso du matin est incroyablement fort
I am reading an inspiring autobiography right now	Je lis une autobiographie inspirante en ce moment
We celebrated her promotion with a nice dinner	Nous avons célébré sa promotion avec un bon dîner
The user manual is straightforward to read	Le manuel d'utilisation est simple à lire
He cleans his kitchen counters every evening	Il nettoie ses comptoirs de cuisine chaque soir
She won a prestigious regional science award	Elle a remporté un prestigieux prix scientifique régional
They often talk about environmental conservation efforts	Ils parlent souvent des efforts de conservation de l'environnement
The small koala clings tightly to the branch	Le petit koala s'accroche fermement à la branche
I will fix the leaky faucet tomorrow morning	Je réparerai le robinet qui fuit demain matin
We need to buy some organic vegetables	Nous devons acheter des légumes biologiques
The tennis match was extremely close and exciting	Le match de tennis était extrêmement serré et passionnant
